Profile,SepYOS,SepAge,H3Annual,H3PensionNPV,H3TSP_PV,H3Total,BRSAnnual,BRSPensionNPV,BRS_TSP_PV,BRSTotal,BRSAdv
Enlisted,26,44,133629.17651281774,1611437.8763105737,224918.11205925126,1836355.9883698248,106903.34121025419,1289150.3010484593,434642.2021177122,1723792.5031661715,-112563.48520365334
Enlisted,28,46,157650.28300370125,1737997.100227355,248515.52080620194,1986512.621033557,126120.22640296098,1390397.680181883,481164.30224347184,1871561.982425355,-114950.6386082021
PriorEnlistedOfficer,4,22,0.0,0.0,24258.221913964415,24258.221913964415,0.0,0.0,39082.17073775243,39082.17073775243,14823.948823788014
PriorEnlistedOfficer,6,24,0.0,0.0,38330.40577607698,38330.40577607698,0.0,0.0,66808.83475171393,66808.83475171393,28478.428975636954
PriorEnlistedOfficer,8,26,0.0,0.0,52988.56192968784,52988.56192968784,0.0,0.0,95688.9494607065,95688.9494607065,42700.387531018656
PriorEnlistedOfficer,10,28,0.0,0.0,72072.87945492675,72072.87945492675,0.0,0.0,133402.0742056116,133402.0742056116,61329.19475068485
PriorEnlistedOfficer,12,30,0.0,0.0,95287.42635569771,95287.42635569771,0.0,0.0,179355.48992152154,179355.48992152154,84068.06356582383
PriorEnlistedOfficer,14,32,0.0,0.0,120870.08008524464,120870.08008524464,0.0,0.0,230024.05858374914,230024.05858374914,109153.9784985045
PriorEnlistedOfficer,16,34,0.0,0.0,146269.0671457275,146269.0671457275,0.0,0.0,280303.30073079054,280303.30073079054,134034.23358506305
PriorEnlistedOfficer,18,36,0.0,0.0,172883.38476434982,172883.38476434982,0.0,0.0,332990.2370661806,332990.2370661806,160106.8523018308
PriorEnlistedOfficer,20,38,102784.90038309361,1601214.6768374273,200737.7470058581,1801952.4238432855,82227.92030647487,1280971.7414699416,388133.2788555879,1669105.0203255294,-132847.40351775615
PriorEnlistedOfficer,22,40,119367.38108358633,1710610.9848449402,228393.4565941163,1939004.4414390565,95493.90486686907,1368488.787875951,442853.9696611338,1811342.7575370849,-127661.68390197167
PriorEnlistedOfficer,24,42,145922.18799334325,1920461.3681582808,257461.2326445473,2177922.600802828,116737.75039467457,1536369.0945266252,500372.63881292986,2036741.733339555,-141180.867463273
PriorEnlistedOfficer,26,44,185440.50212175582,2236232.0618834714,288189.7777772949,2524421.8396607665,148352.40169740465,1788985.6495067768,561185.5335537997,2350171.1830605767,-174250.65660018986
PriorEnlistedOfficer,28,46,210839.96674265753,2324380.5455279,319190.2585324828,2643570.804060383,168671.97339412602,1859504.4364223198,622513.7776960334,2482018.214118353,-161552.58994202968
PriorEnlistedOfficer,30,48,258350.10015609866,2597963.9960478046,352575.5788516484,2950539.5748994527,206680.08012487894,2078371.1968382427,688581.9163142473,2766953.11315249,-183586.46174696274
PriorEnlistedOfficer,32,50,333877.69787108083,3054240.123547901,388379.4416528528,3442619.5652007535,267102.15829686465,2443392.098838322,759456.0365250906,3202848.1353634126,-239771.42983734095
PriorEnlistedOfficer,34,52,374524.3079044431,3109361.5536735062,424631.2859513929,3533992.839624899,299619.44632355444,2487489.242938804,831193.6392532012,3318682.8821920054,-215309.95743289357
PriorEnlistedOfficer,36,54,435728.06016192015,3273487.5781160733,463372.1722115117,3736859.750327585,348582.4481295361,2618790.062492858,907875.4073495587,3526665.4698424167,-210194.2804851681
PriorEnlistedOfficer,38,56,522095.5176608794,3539807.051669567,505040.3941270588,4044847.4457966257,417676.41412870353,2831845.6413356536,990376.4264532805,3822222.0677889343,-222625.37800769135
