Profile,SepYOS,SepAge,N_iter,BRSAdv_p10,BRSAdv_p25,BRSAdv_p50,BRSAdv_p75,BRSAdv_p90,BRSAdv_mean,H3Total_p10,H3Total_p25,H3Total_p50,H3Total_p75,H3Total_p90,H3Total_mean,BRSTotal_p10,BRSTotal_p25,BRSTotal_p50,BRSTotal_p75,BRSTotal_p90,BRSTotal_mean
Officer,24,46,20000,-518415.9313658563,-374689.82218778215,-221763.33141321666,-57401.186648482806,96172.4728604806,-215781.00971985597,1511827.9693271166,2195275.4360399875,2761727.7059607776,3315299.252465454,3886927.5442278716,2751214.7188158873,1506753.1577322588,2056517.1423575948,2553996.678733126,3012479.266549456,3493509.4707180294,2535433.7090960313
Officer,26,48,20000,-547177.3931151162,-390866.5039543166,-227019.06869570864,-46923.42403099325,131163.02018051475,-217048.44367970867,1574160.001938626,2353990.6062791077,2978510.894454034,3563690.468709076,4163375.241019977,2944972.7153763785,1603854.2564409499,2231510.2577146254,2759557.8078150405,3244474.40535725,3744747.5357152256,2727924.27169667
Officer,28,50,20000,-608241.6066990874,-439216.03757394303,-253038.54841926903,-47645.87539636239,144232.81338199746,-242318.74288490872,1667872.3690787402,2563121.8547282256,3317557.9910521023,3964240.7192457067,4613006.680933996,3253429.2004110375,1713601.9498485802,2440913.1757187536,3065099.203685904,3607036.7306498177,4135942.4575587576,3011110.457526129
Officer,30,52,20000,-669099.6966367655,-481299.3351915359,-277892.6870589508,-53541.79304248333,163181.60580475192,-265395.042523299,1793822.2884850996,2790160.4798031496,3655146.291108682,4370843.632511402,5089971.315532948,3565583.468980867,1851118.6051344257,2667801.1224252647,3378316.5067981044,3975372.520802641,4546567.84949826,3300188.4264575685
Officer,32,54,20000,-739584.1038967022,-535132.0630009328,-303105.97580554266,-52052.13488083705,185104.26131305477,-291900.94610081956,1879733.8849647173,3006428.6554968967,4025766.052566799,4827561.301198626,5615645.02854574,3909645.814156964,1950418.352388379,2888123.543392554,3717393.471786065,4382785.525017213,5001244.652919786,3617744.8680561446
Officer,34,56,20000,-757154.1056163764,-541955.8088669166,-293739.0361001489,-22404.169470538152,223894.52165479807,-279560.590584766,1925976.5113415285,3166837.1559932358,4232702.669421384,5095013.250558754,5895229.577722632,4103362.2085052994,2054375.1159544706,3045822.9865398775,3947266.299773005,4656411.331165465,5280644.916177008,3823801.6179205338
Officer,36,58,20000,-730350.7351732607,-511336.1651907037,-255255.8173541976,29852.977236630046,282941.25228451734,-235984.72961288606,1892798.0873304605,3129833.440290131,4292146.255679211,5147167.054109666,5939817.649147521,4125038.1967821745,2070257.768755135,3072932.5271071363,4027796.3309392696,4749808.689014952,5379322.747438668,3889053.4671692885
Officer,38,60,20000,-708136.266837037,-473083.2381063581,-210612.3265124471,80711.0163977507,348418.4416589333,-190815.83931350103,1818987.4657572675,3124470.514143102,4336894.500962778,5230445.674989019,6017234.957037695,4157995.215958385,2054360.689655952,3112906.5233903304,4114652.6451234594,4867183.978903664,5508846.073958096,3967179.376644884
Officer,40,62,20000,-667799.3006019837,-439908.48102823715,-166850.8473765219,135599.81091167463,404694.19978032546,-144153.99781353993,1842888.6145872106,3078429.788169761,4318103.046068817,5273682.759678374,6035683.241197147,4154745.167151586,2089051.605081281,3120111.2966973595,4142447.4324184204,4950969.688150925,5594533.6197139975,4010591.169338046
Enlisted,4,22,20000,4591.932424752195,7037.81887663614,11437.550442404568,18640.04858684758,28415.485040589934,14675.7549878434,7377.3200680986665,11379.261360533204,18625.20215154782,30363.836500550948,46188.53968771599,23937.912258865632,11991.721291326628,18425.837578448012,30074.154672102297,48971.811753912654,74648.75169698094,38613.667246709025
Enlisted,6,24,20000,9041.875257491027,13956.800933543269,22343.259930732966,35380.46149039948,53838.24972068232,28028.05505764136,11935.97140030386,18492.563626188905,29829.922187128093,47532.7225429389,72536.32788621233,37575.665741776014,20999.303563002,32482.32281740461,52263.59782770417,82957.57528453726,126025.48086917156,65603.72079941737
